id,created_at,text
1,2025-03-25,The item description on DemoMart was misleading. It didn’t match what I received.
2,2025-04-17,The product I ordered from DemoMart arrived damaged and I had trouble getting a replacement.
3,2025-03-16,My DemoMart order was missing an item. Still waiting on support to respond.
4,2025-03-24,DemoMart's return process was smooth and hassle-free.
5,2025-03-18,DemoMart's return process was smooth and hassle-free.
6,2025-04-17,Excellent packaging and prompt delivery from DemoMart. Very satisfied!
7,2025-04-09,The item description on DemoMart was misleading. It didn’t match what I received.
8,2025-03-22,Loved the fast checkout and smooth experience on DemoMart's mobile app.
9,2025-03-26,Customer service was unhelpful when I reached out about a late delivery.
10,2025-03-11,"The product arrived in perfect condition and worked as expected. Thanks, DemoMart!"
11,2025-03-03,Had to call twice before someone at DemoMart actually helped me.
12,2025-03-10,Great experience! My DemoMart package came earlier than expected.
13,2025-02-23,The product I ordered from DemoMart arrived damaged and I had trouble getting a replacement.
14,2025-03-11,Customer service was unhelpful when I reached out about a late delivery.
15,2025-03-02,The delivery person left my DemoMart package in the rain.
16,2025-04-07,DemoMart's return process was smooth and hassle-free.
17,2025-03-16,Received the wrong item from DemoMart. Return took over a week to process.
18,2025-02-25,My DemoMart delivery was handed to a neighbor without notifying me. Not cool.
19,2025-03-26,The product I ordered from DemoMart arrived damaged and I had trouble getting a replacement.
20,2025-03-31,Loved the fast checkout and smooth experience on DemoMart's mobile app.
21,2025-03-20,The delivery person left my DemoMart package in the rain.
22,2025-03-04,Loved the fast checkout and smooth experience on DemoMart's mobile app.
23,2025-04-18,Had to call twice before someone at DemoMart actually helped me.
24,2025-02-19,DemoMart's return process was smooth and hassle-free.
25,2025-03-03,"This was the best online shopping experience I’ve had in a while. Thanks, DemoMart!"
26,2025-04-09,"The product arrived in perfect condition and worked as expected. Thanks, DemoMart!"
27,2025-04-07,My DemoMart order was missing an item. Still waiting on support to respond.
28,2025-04-10,The product I ordered from DemoMart arrived damaged and I had trouble getting a replacement.
29,2025-02-21,"I’ve had better experiences before. This time, DemoMart let me down with the delivery."
30,2025-03-08,Had to call twice before someone at DemoMart actually helped me.
31,2025-03-21,"DemoMart support was quick and polite, resolved my issue in one chat."
32,2025-03-14,My DemoMart order was missing an item. Still waiting on support to respond.
33,2025-04-08,Excellent packaging and prompt delivery from DemoMart. Very satisfied!
34,2025-03-16,The delivery person left my DemoMart package in the rain.
35,2025-02-18,"DemoMart support was quick and polite, resolved my issue in one chat."
36,2025-03-31,The item description on DemoMart was misleading. It didn’t match what I received.
37,2025-04-18,Customer service was unhelpful when I reached out about a late delivery.
38,2025-03-15,Why does DemoMart keep delaying my orders? This is frustrating.
39,2025-02-19,The item description on DemoMart was misleading. It didn’t match what I received.
40,2025-02-27,Terrible product quality from a DemoMart seller. Definitely not worth the price.
41,2025-02-20,Terrible product quality from a DemoMart seller. Definitely not worth the price.
42,2025-03-11,My DemoMart delivery was handed to a neighbor without notifying me. Not cool.
43,2025-04-01,My DemoMart order was missing an item. Still waiting on support to respond.
44,2025-02-25,Great experience! My DemoMart package came earlier than expected.
45,2025-04-09,"This was the best online shopping experience I’ve had in a while. Thanks, DemoMart!"
46,2025-03-27,Loved the fast checkout and smooth experience on DemoMart's mobile app.
47,2025-03-18,The item description on DemoMart was misleading. It didn’t match what I received.
48,2025-03-04,Why does DemoMart keep delaying my orders? This is frustrating.
49,2025-03-12,Customer service was unhelpful when I reached out about a late delivery.
50,2025-02-20,Loved the fast checkout and smooth experience on DemoMart's mobile app.
51,2025-04-08,Loved how easy it was to track my DemoMart shipment!
52,2025-03-06,My DemoMart delivery was handed to a neighbor without notifying me. Not cool.
53,2025-03-03,Terrible product quality from a DemoMart seller. Definitely not worth the price.
54,2025-03-05,"The product arrived in perfect condition and worked as expected. Thanks, DemoMart!"
55,2025-03-04,The delivery person left my DemoMart package in the rain.
56,2025-04-05,Customer service was unhelpful when I reached out about a late delivery.
57,2025-02-19,Great experience! My DemoMart package came earlier than expected.
58,2025-04-01,DemoMart's return process was smooth and hassle-free.
59,2025-02-26,Loved how easy it was to track my DemoMart shipment!
60,2025-02-23,Customer service was unhelpful when I reached out about a late delivery.
61,2025-04-18,DemoMart's return process was smooth and hassle-free.
62,2025-02-18,The item description on DemoMart was misleading. It didn’t match what I received.
63,2025-02-23,Why does DemoMart keep delaying my orders? This is frustrating.
64,2025-04-03,My DemoMart order was missing an item. Still waiting on support to respond.
65,2025-03-26,"This was the best online shopping experience I’ve had in a while. Thanks, DemoMart!"
66,2025-03-29,Terrible product quality from a DemoMart seller. Definitely not worth the price.
67,2025-03-09,"I’ve had better experiences before. This time, DemoMart let me down with the delivery."
68,2025-02-22,Terrible product quality from a DemoMart seller. Definitely not worth the price.
69,2025-03-31,Terrible product quality from a DemoMart seller. Definitely not worth the price.
70,2025-02-18,The delivery person left my DemoMart package in the rain.
71,2025-03-24,My DemoMart order was missing an item. Still waiting on support to respond.
72,2025-03-18,Customer service was unhelpful when I reached out about a late delivery.
73,2025-04-13,My DemoMart delivery was handed to a neighbor without notifying me. Not cool.
74,2025-03-06,"I’ve had better experiences before. This time, DemoMart let me down with the delivery."
75,2025-04-17,Loved the fast checkout and smooth experience on DemoMart's mobile app.
